NumPathsCalculated, NumIterations, NumPathsSuccess, NumPathsBlocked, PathCalcTime, NumNodes, NodesUsedInPath, IsNewGoal
506,4517,506,3936,154.345,582,26,1
507,4133,507,3541,154.641,593,14,0
508,4073,508,3572,154.868,502,22,1
509,3718,509,3209,155.064,510,13,0
510,3867,510,3355,155.283,513,8,0
511,4270,511,3733,155.477,538,16,1
512,3782,512,3264,155.704,519,4,0
513,4158,513,3591,155.95,568,11,1
514,3908,514,3384,156.127,525,7,0
515,4975,515,4322,156.34,654,20,1
516,4315,516,3755,156.678,561,13,0
517,7128,517,6219,157.109,910,23,1
518,3712,518,3184,157.309,529,13,0
519,3641,519,3123,157.528,519,4,0
520,5986,520,5207,157.907,780,26,1
521,7208,521,6277,158.314,932,21,0
522,4762,522,4130,158.621,633,8,0
523,5829,523,5054,158.884,776,10,1
524,5391,524,4669,159.133,723,24,1
525,3641,525,3101,159.385,541,10,0
526,4418,526,3911,159.591,508,29,1
527,5421,527,4677,159.88,745,19,0
528,3754,528,3211,160.106,544,20,0
529,4118,529,3544,160.289,575,13,0
530,4617,530,3990,160.531,628,13,1
531,3790,531,3238,160.806,553,5,0
532,5353,532,4574,161.095,780,12,1
533,4255,533,3732,161.343,524,20,1
534,3535,534,3032,161.501,504,14,0
535,3700,535,3195,161.69,506,6,0
536,6004,536,5216,162.138,789,23,1
537,4146,537,3583,162.343,564,16,0
538,3331,538,2831,162.549,501,7,0
539,3388,539,2882,162.77,507,10,0
540,6255,540,5452,163.154,804,23,1
541,4001,541,3499,163.354,503,13,0
542,3508,542,3007,163.587,502,4,0
543,5008,543,4310,163.92,699,11,1
544,4383,544,3829,164.129,555,33,1
545,10160,545,9025,164.843,1136,20,0
546,3503,546,2997,165.012,507,13,0
547,4207,547,3631,165.256,577,23,1
548,3628,548,3125,165.401,504,15,0
549,4015,549,3514,165.705,502,13,0
550,5326,550,4617,166.031,710,14,1
551,3130,551,2625,166.213,506,4,0
552,3696,552,3172,166.398,525,11,1
553,3538,553,3023,166.576,516,5,0
554,3975,554,3447,166.802,529,28,1
555,5189,555,4553,167.118,637,25,0
556,6779,556,5880,167.594,900,14,0
557,4546,557,4028,167.798,519,6,0
558,4300,558,3729,167.991,572,20,1
559,4108,559,3525,168.201,584,17,0
560,6340,560,5497,168.61,844,8,0
561,4351,561,3769,168.817,583,15,1
562,3849,562,3300,169.001,550,7,0
563,3764,563,3220,169.242,545,11,1
564,5657,564,4885,169.467,773,19,1
565,4214,565,3632,169.727,583,9,0
566,5401,566,4709,169.991,693,31,1
567,4366,567,3799,170.194,568,23,0
568,4309,568,3770,170.425,540,8,0
569,4873,569,4224,170.746,650,30,1
570,3791,570,3262,170.999,530,11,0
571,3369,571,2868,171.205,502,6,0
572,4047,572,3424,171.399,624,10,1
573,3749,573,3226,171.598,524,11,0
574,6898,574,6053,171.962,846,21,1
575,4761,575,4133,172.198,629,9,0
576,7402,576,6409,172.718,994,22,1
577,3819,577,3269,172.953,551,9,0
578,4847,578,4215,173.275,633,12,1
579,3658,579,3156,173.542,503,2,0
580,4411,580,3767,173.766,645,24,1
581,4408,581,3788,174.031,621,12,0
582,3869,582,3369,174.211,501,4,0
583,4032,583,3510,174.395,523,20,1
584,4950,584,4396,174.638,555,8,0
585,5776,585,5072,174.997,705,14,1
586,4927,586,4306,175.343,622,10,0
587,4453,587,3876,175.596,578,12,1
588,3502,588,2979,175.761,524,6,0
589,5105,589,4356,176.102,750,9,1
590,5545,590,4849,176.463,697,25,1
591,4474,591,3955,176.731,520,11,0
592,7953,592,7017,177.2,937,25,1
593,3801,593,3259,177.376,543,11,0
594,4295,594,3719,177.589,577,13,1
595,3847,595,3331,177.769,517,8,0
596,4010,596,3458,177.932,553,18,1
597,3974,597,3407,178.181,568,14,0
598,3858,598,3290,178.369,569,7,0
599,4678,599,4072,178.593,607,19,1
600,6849,600,6085,178.941,765,12,0
601,4433,601,3918,179.225,516,5,0
602,4454,602,3942,179.525,513,25,1
603,4631,603,4037,179.73,595,14,0
604,3572,604,3066,179.977,507,6,0
605,5155,605,4432,180.283,724,22,1
606,5244,606,4652,180.527,593,19,0
607,4655,607,4054,180.709,602,8,0
608,3974,608,3434,180.933,541,8,0
609,3749,609,3183,181.154,567,12,1
610,3796,610,3277,181.343,520,20,1
611,4068,611,3504,181.557,565,10,0
612,4135,612,3635,181.768,501,5,0
613,4931,613,4262,182.054,670,23,1
614,4171,614,3588,182.254,584,8,0
615,4403,615,3810,182.471,594,25,1
616,7217,616,6339,183.013,879,14,0
617,3234,617,2727,183.202,508,4,0
